ID,Title,Year,Journal,Author,,,,,,,,,,,,
2-s2.0-85055640886,Adaptive Gaussian Process Approximation for Bayesian Inference with Expensive Likelihood Functions.,2018,Neural Computation,Hongqiao Wang,Jinglai Li,,,,,,,,,,,
2-s2.0-85055662568,Convex Coupled Matrix and Tensor Completion.,2018,Neural Computation,Kishan Wimalawarne,Makoto Yamada,Hiroshi Mamitsuka,,,,,,,,,,
2-s2.0-85055644570,Cross-Entropy Pruning for Compressing Convolutional Neural Networks.,2018,Neural Computation,Rongxin Bao,Xu Yuan,Zhikui Chen,Ruixin Ma,,,,,,,,,
2-s2.0-85057032370,Dense Associative Memory Is Robust to Adversarial Inputs.,2018,Neural Computation,Dmitry Krotov,John J. Hopfield,,,,,,,,,,,
2-s2.0-85057041348,Unconscious Biases in Neural Populations Coding Multiple Stimuli.,2018,Neural Computation,Sander W. Keemink,Dharmesh Tailor,Mark C. W. van Rossum,,,,,,,,,,
2-s2.0-85057063013,Nonlinear Modeling of Neural Interaction for Spike Prediction Using the Staged Point-Process Model.,2018,Neural Computation,Cunle Qian,Xuyun Sun,Shaomin Zhang,Dong Xing,Hongbao Li,Xiaoxiang Zheng,Gang Pan,Yiwen Wang,,,,,
2-s2.0-85057040807,Omitted Variable Bias in GLMs of Neural Spiking Activity.,2018,Neural Computation,Ian H. Stevenson,,,,,,,,,,,,
2-s2.0-85057017415,Tensor Representation of Topographically Organized Semantic Spaces.,2018,Neural Computation,Andr¨¦s Pomi,Eduardo Mizraji,Juan Lin,,,,,,,,,,
2-s2.0-85056997123,Multi-Instance Dimensionality Reduction via Sparsity and Orthogonality.,2018,Neural Computation,Hong Zhu,Li-Zhi Liao,Michael K. Ng,,,,,,,,,,
2-s2.0-85057036502,Use of a Deep Belief Network for Small High-Level Abstraction Data Sets Using Artificial Intelligence with Rule Extraction.,2018,Neural Computation,Yoichi Hayashi,,,,,,,,,,,,
2-s2.0-85057050508,Limitations of Proposed Signatures of Bayesian Confidence.,2018,Neural Computation,William T. Adler,Wei Ji Ma,,,,,,,,,,,
2-s2.0-85056998573,Bayesian Modeling of Motion Perception Using Dynamical Stochastic Textures.,2018,Neural Computation,Jonathan Vacher,Andrew Isaac Meso,Laurent U. Perrinet,Gabriel Peyr¨¦,,,,,,,,,
2-s2.0-85007551351,Active Inference: A Process Theory.,2017,Neural Computation,Karl John Friston,Thomas H. B. FitzGerald,Francesco Rigoli,Philipp Schwartenbeck,Giovanni Pezzulo,,,,,,,,
2-s2.0-85007560397,A Combinatorial Model for Dentate Gyrus Sparse Coding.,2017,Neural Computation,William Severa,Ojas Parekh,Conrad D. James,James B. Aimone,,,,,,,,,
2-s2.0-85007597375,Analytical Calculation of Mutual Information between Weakly Coupled Poisson-Spiking Neurons in Models of Dynamically Gated Communication.,2017,Neural Computation,Jonathan Cannon,,,,,,,,,,,,
2-s2.0-85007578324,On the Mathematical Consequences of Binning Spike Trains.,2017,Neural Computation,Bruno Cessac,Arnaud Le Ny,Eva Lcherbach,,,,,,,,,,
2-s2.0-85007607704,Orientation Histogram-Based Center-Surround Interaction: An Integration Approach for Contour Detection.,2017,Neural Computation,Rongchang Zhao,Min Wu,Xiyao Liu,Beiji Zou,Fangfang Li,,,,,,,,
2-s2.0-85007521347,"Fast, Accurate Localization of Epileptic Seizure Onset Zones Based on Detection of High-Frequency Oscillations Using Improved Wavelet Transform and Matching Pursuit Methods.",2017,Neural Computation,Min Wu,Ting Wan,Xiongbo Wan,Yu-xiao Du,Jinhua She,,,,,,,,
2-s2.0-85007545354,Online Reinforcement Learning Using a Probability Density Estimation.,2017,Neural Computation,Alejandro Agostini,Enric Celaya,,,,,,,,,,,
2-s2.0-85007570642,LSV-Based Tail Inequalities for Sums of Random Matrices.,2017,Neural Computation,Chao Zhang,Lei Du,Dacheng Tao,,,,,,,,,,
2-s2.0-85007564460,Improving the Incoherence of a Learned Dictionary via Rank Shrinkage.,2017,Neural Computation,Shashanka Ubaru,Abd-Krim Seghouane,Yousef Saad,,,,,,,,,,
2-s2.0-85010402645,Learning the Structural Vocabulary of a Network.,2017,Neural Computation,Saket Navlakha,,,,,,,,,,,,
2-s2.0-85010301212,Comparison of Different Generalizations of Clustering Coefficient and Local Efficiency for Weighted Undirected Graphs.,2017,Neural Computation,Yu Wang,Eshwar Ghumare,Rik Vandenberghe,Patrick Dupont,,,,,,,,,
2-s2.0-85010426726,Time Series Decomposition into Oscillation Components and Phase Estimation.,2017,Neural Computation,Takeru Matsuda,Fumiyasu Komaki,,,,,,,,,,,
2-s2.0-85010332831,Neural Circuits Trained with Standard Reinforcement Learning Can Accumulate Probabilistic Information during Decision Making.,2017,Neural Computation,Nils Kurzawa,Christopher Summerfield,Rafal Bogacz,,,,,,,,,,
2-s2.0-85010298771,Local and Global Gestalt Laws: A Neurally Based Spectral Approach.,2017,Neural Computation,Marta Favali,Giovanna Citti,Alessandro Sarti,,,,,,,,,,
2-s2.0-85010423696,Multistability of Delayed Recurrent Neural Networks with Mexican Hat Activation Functions.,2017,Neural Computation,Peng Liu,Zhigang Zeng,Jun Wang,,,,,,,,,,
2-s2.0-85010411563,Exponentially Long Orbits in Hopfield Neural Networks.,2017,Neural Computation,Samuel P. Muscinelli,Wulfram Gerstner,Johanni Brea,,,,,,,,,,
2-s2.0-85010465441,Energy Model of Neuron Activation.,2017,Neural Computation,Yuriy Romanyshyn,Andriy Smerdov,Svitlana Petrytska,,,,,,,,,,
2-s2.0-85064920662,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85053709969,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85067793092,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85067019056,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85066444082,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85059839967,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85065619948,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
